Orden;Fecha;Mesa;Atendió;Propina;Tipo de Cliente;Sucursal
797;06/07/2014;11;Joel;12%;Cliente Nuevo;Chapultepec
798;29/03/2014;14;Mariana;14%;Cliente Nuevo;La Paz
799;13/08/2014;15;Rodolfo;17%;Cliente Nuevo;Chapultepec
800;11/02/2014;16;Ernesto;11%;Cliente Repetido;La Paz
801;25/08/2014;3;Joel;9%;Cliente Repetido;La Estancia
802;27/04/2014;16;Rodolfo;10%;Cliente Nuevo;La Paz
803;06/01/2015;8;Joel;16%;Cliente Repetido;La Paz
804;05/10/2014;11;Alejandro;9%;Cliente Repetido;Chapultepec
805;25/04/2014;10;Saul;17%;Cliente Nuevo;La Estancia
806;16/11/2014;14;Joel;15%;Cliente Nuevo;La Paz
807;07/08/2014;6;Rodolfo;17%;Cliente Nuevo;Chapultepec
808;14/01/2015;13;Ernesto;10%;Cliente Repetido;La Paz
809;07/04/2014;2;Joel;17%;Cliente Nuevo;Chapultepec
810;15/09/2014;3;Valentina;17%;Cliente Repetido;Chapultepec
811;05/05/2014;16;Mariana;11%;Cliente Repetido;La Paz
812;24/09/2014;1;Joel;11%;Cliente Nuevo;La Estancia
813;01/09/2014;13;Alejandro;6%;Cliente Nuevo;La Estancia
814;30/07/2014;5;Ernesto;17%;Cliente Nuevo;La Estancia
815;16/05/2014;7;Rodolfo;17%;Cliente Nuevo;La Estancia
816;18/11/2014;17;Rodolfo;11%;Cliente Nuevo;La Paz
817;19/11/2014;6;Joel;12%;Cliente Nuevo;La Estancia
818;28/10/2014;3;Saul;13%;Cliente Nuevo;La Paz
819;28/11/2014;9;Mauricio;20%;Cliente Nuevo;Chapultepec
820;27/10/2014;16;Rodolfo;6%;Cliente Repetido;La Estancia
821;29/05/2014;6;Valentina;9%;Cliente Nuevo;La Paz
822;21/12/2014;4;Alejandro;8%;Cliente Nuevo;La Estancia
823;29/06/2014;12;Ernesto;16%;Cliente Nuevo;La Estancia
824;11/02/2014;3;Ernesto;11%;Cliente Repetido;Chapultepec
825;10/04/2014;17;Mariana;16%;Cliente Nuevo;La Paz
826;24/05/2014;4;Alejandro;6%;Cliente Nuevo;La Estancia
827;31/05/2014;11;Valentina;11%;Cliente Nuevo;Chapultepec
828;11/02/2014;10;Joel;10%;Cliente Nuevo;Chapultepec
829;16/03/2014;4;Valentina;17%;Cliente Nuevo;Chapultepec
830;04/10/2014;13;Ernesto;8%;Cliente Nuevo;La Paz
831;30/06/2014;2;Mariana;12%;Cliente Nuevo;La Paz
832;15/06/2014;17;Rodolfo;16%;Cliente Nuevo;La Estancia
833;15/10/2014;13;Joel;17%;Cliente Nuevo;Chapultepec
834;21/01/2015;9;Omar;9%;Cliente Repetido;La Paz
835;06/06/2014;6;Valentina;10%;Cliente Repetido;Chapultepec
836;31/10/2014;9;Mauricio;20%;Cliente Nuevo;Chapultepec
837;22/02/2014;10;Mariana;9%;Cliente Nuevo;La Estancia
838;04/04/2014;12;Alejandro;6%;Cliente Nuevo;La Estancia
839;23/07/2014;7;Rodolfo;7%;Cliente Repetido;La Estancia
840;08/04/2014;7;Saul;8%;Cliente Nuevo;Chapultepec
841;18/04/2014;16;Omar;8%;Cliente Nuevo;La Paz
842;14/10/2014;8;Saul;12%;Cliente Nuevo;Chapultepec
843;14/04/2014;3;Joel;10%;Cliente Nuevo;La Paz
844;29/05/2014;12;Ernesto;10%;Cliente Nuevo;La Estancia
845;27/06/2014;3;Valentina;6%;Cliente Repetido;La Paz
846;17/07/2014;6;Valentina;16%;Cliente Nuevo;Chapultepec
847;05/02/2014;13;Saul;14%;Cliente Nuevo;La Paz
848;18/11/2014;15;Rodolfo;10%;Cliente Nuevo;La Estancia
849;07/03/2014;11;Mariana;5%;Cliente Nuevo;La Paz
850;05/05/2014;5;Saul;11%;Cliente Repetido;Chapultepec
851;18/12/2014;2;Joel;15%;Cliente Repetido;La Estancia
852;17/09/2014;6;Rodolfo;17%;Cliente Nuevo;La Paz
853;11/06/2014;17;Alejandro;11%;Cliente Repetido;La Estancia
854;09/07/2014;12;Ernesto;7%;Cliente Nuevo;Chapultepec
855;30/01/2015;9;Mauricio;20%;Cliente Nuevo;La Estancia
856;04/04/2014;12;Rodolfo;10%;Cliente Nuevo;La Paz
857;13/05/2014;7;Omar;15%;Cliente Nuevo;Chapultepec
858;21/09/2014;8;Ernesto;5%;Cliente Repetido;La Paz
859;17/04/2014;3;Alejandro;8%;Cliente Nuevo;Chapultepec
860;30/04/2014;2;Mariana;10%;Cliente Repetido;La Estancia
861;11/09/2014;2;Omar;11%;Cliente Nuevo;La Paz
862;06/01/2015;8;Mariana;15%;Cliente Nuevo;La Paz
863;09/10/2014;7;Joel;15%;Cliente Nuevo;La Paz
864;18/12/2014;17;Alejandro;7%;Cliente Nuevo;Chapultepec
865;09/09/2014;7;Rodolfo;15%;Cliente Repetido;La Estancia
866;17/05/2014;15;Omar;6%;Cliente Repetido;Chapultepec
867;06/04/2014;17;Omar;13%;Cliente Nuevo;La Estancia
868;14/08/2014;9;Ernesto;10%;Cliente Nuevo;Chapultepec
869;10/09/2014;4;Mariana;12%;Cliente Nuevo;La Estancia
870;10/06/2014;14;Rodolfo;13%;Cliente Nuevo;Chapultepec
871;12/11/2014;11;Mariana;7%;Cliente Repetido;La Paz
872;23/03/2014;8;Valentina;13%;Cliente Nuevo;La Estancia
873;23/06/2014;1;Ernesto;5%;Cliente Repetido;La Paz
874;26/01/2015;1;Saul;17%;Cliente Nuevo;La Estancia
875;16/12/2014;8;Ernesto;6%;Cliente Nuevo;La Estancia
876;27/09/2014;14;Mauricio;20%;Cliente Nuevo;La Paz
877;22/07/2014;1;Rodolfo;5%;Cliente Nuevo;Chapultepec
878;31/10/2014;16;Mauricio;20%;Cliente Nuevo;La Paz
879;12/06/2014;17;Valentina;16%;Cliente Nuevo;La Estancia
880;17/03/2014;13;Saul;12%;Cliente Nuevo;Chapultepec
881;03/07/2014;12;Valentina;17%;Cliente Nuevo;La Paz
882;23/12/2014;14;Alejandro;13%;Cliente Nuevo;Chapultepec
883;20/10/2014;3;Rodolfo;14%;Cliente Nuevo;La Estancia
884;24/03/2014;12;Joel;15%;Cliente Repetido;Chapultepec
885;09/12/2014;5;Omar;13%;Cliente Repetido;Chapultepec
886;19/12/2014;5;Mauricio;20%;Cliente Nuevo;La Paz
887;24/11/2014;14;Omar;13%;Cliente Nuevo;La Paz
888;03/10/2014;2;Mauricio;20%;Cliente Nuevo;La Paz
889;17/12/2014;11;Ernesto;17%;Cliente Nuevo;La Estancia
890;01/09/2014;4;Saul;13%;Cliente Nuevo;La Estancia
891;01/08/2014;12;Omar;10%;Cliente Repetido;Chapultepec
892;21/06/2014;1;Ernesto;12%;Cliente Repetido;La Estancia
893;19/04/2014;1;Ernesto;6%;Cliente Nuevo;Chapultepec
894;16/03/2014;10;Omar;8%;Cliente Nuevo;La Estancia
895;09/11/2014;16;Valentina;12%;Cliente Nuevo;La Estancia
896;17/09/2014;8;Ernesto;9%;Cliente Nuevo;La Estancia
897;21/04/2014;9;Ernesto;15%;Cliente Repetido;Chapultepec
898;13/03/2014;15;Joel;17%;Cliente Nuevo;Chapultepec
899;29/08/2014;5;Mariana;6%;Cliente Repetido;La Estancia
900;20/09/2014;14;Mauricio;20%;Cliente Nuevo;Chapultepec
901;13/11/2014;5;Alejandro;12%;Cliente Repetido;La Paz
902;02/12/2014;8;Ernesto;12%;Cliente Nuevo;La Estancia
903;09/10/2014;17;Rodolfo;13%;Cliente Nuevo;La Paz
904;09/12/2014;16;Saul;12%;Cliente Nuevo;Chapultepec
905;08/03/2014;11;Alejandro;15%;Cliente Repetido;La Estancia
906;14/01/2015;5;Rodolfo;6%;Cliente Nuevo;Chapultepec
907;25/06/2014;6;Ernesto;12%;Cliente Nuevo;La Paz
908;10/09/2014;14;Rodolfo;12%;Cliente Nuevo;Chapultepec
909;08/04/2014;6;Rodolfo;13%;Cliente Repetido;La Estancia
910;02/01/2015;6;Mauricio;20%;Cliente Nuevo;La Paz
911;04/05/2014;1;Ernesto;15%;Cliente Nuevo;La Paz
912;23/06/2014;8;Valentina;11%;Cliente Nuevo;Chapultepec
913;29/03/2014;7;Ernesto;17%;Cliente Nuevo;Chapultepec
914;07/07/2014;14;Alejandro;11%;Cliente Nuevo;La Paz
915;19/02/2014;11;Ernesto;15%;Cliente Nuevo;La Estancia
916;24/03/2014;1;Mariana;16%;Cliente Nuevo;Chapultepec
917;03/04/2014;11;Joel;5%;Cliente Nuevo;La Paz
918;01/07/2014;15;Rodolfo;8%;Cliente Nuevo;Chapultepec
919;18/03/2014;3;Joel;12%;Cliente Nuevo;La Estancia
920;01/09/2014;14;Rodolfo;13%;Cliente Nuevo;Chapultepec
921;25/05/2014;4;Ernesto;6%;Cliente Repetido;La Paz
922;29/07/2014;9;Ernesto;7%;Cliente Nuevo;Chapultepec
923;09/02/2014;9;Alejandro;17%;Cliente Nuevo;Chapultepec
924;21/10/2014;8;Joel;16%;Cliente Nuevo;Chapultepec
925;01/12/2014;7;Valentina;16%;Cliente Nuevo;La Estancia
926;01/05/2014;15;Alejandro;12%;Cliente Repetido;Chapultepec
927;17/12/2014;6;Rodolfo;17%;Cliente Nuevo;La Estancia
928;25/08/2014;11;Omar;13%;Cliente Repetido;La Paz
929;30/11/2014;3;Saul;14%;Cliente Nuevo;La Estancia
930;08/04/2014;8;Mariana;15%;Cliente Repetido;Chapultepec
931;19/07/2014;2;Mariana;5%;Cliente Nuevo;La Paz
932;23/10/2014;10;Joel;13%;Cliente Nuevo;La Estancia
933;18/11/2014;16;Rodolfo;9%;Cliente Nuevo;Chapultepec
934;16/09/2014;3;Alejandro;8%;Cliente Nuevo;Chapultepec
935;14/02/2014;11;Alejandro;13%;Cliente Nuevo;Chapultepec
936;22/09/2014;7;Ernesto;14%;Cliente Nuevo;La Estancia
937;14/07/2014;4;Alejandro;6%;Cliente Nuevo;Chapultepec
938;09/04/2014;15;Valentina;16%;Cliente Nuevo;La Paz
939;28/05/2014;7;Rodolfo;14%;Cliente Nuevo;La Paz
940;17/02/2014;4;Joel;16%;Cliente Nuevo;Chapultepec
941;27/07/2014;5;Ernesto;16%;Cliente Nuevo;La Paz
942;28/08/2014;7;Valentina;15%;Cliente Nuevo;La Estancia
943;31/03/2014;11;Ernesto;6%;Cliente Nuevo;La Estancia
944;31/07/2014;2;Joel;7%;Cliente Nuevo;La Paz
945;22/05/2014;12;Joel;10%;Cliente Nuevo;La Estancia
946;05/04/2014;5;Omar;17%;Cliente Nuevo;La Estancia
947;14/10/2014;15;Omar;7%;Cliente Nuevo;Chapultepec
948;24/09/2014;10;Joel;10%;Cliente Nuevo;La Estancia
949;23/03/2014;7;Omar;8%;Cliente Nuevo;La Estancia
950;11/11/2014;3;Mariana;7%;Cliente Nuevo;La Paz
951;06/12/2014;8;Mauricio;20%;Cliente Nuevo;La Paz
952;04/02/2014;1;Joel;5%;Cliente Nuevo;La Estancia
953;09/08/2014;5;Mariana;10%;Cliente Repetido;La Estancia
954;05/08/2014;14;Ernesto;15%;Cliente Nuevo;Chapultepec
955;29/04/2014;15;Saul;9%;Cliente Nuevo;La Estancia
956;05/07/2014;8;Saul;6%;Cliente Nuevo;La Estancia
957;02/04/2014;16;Valentina;17%;Cliente Repetido;La Paz
958;27/10/2014;8;Joel;11%;Cliente Repetido;La Paz
959;26/02/2014;11;Ernesto;9%;Cliente Nuevo;Chapultepec
960;21/04/2014;8;Saul;17%;Cliente Repetido;La Estancia
961;12/11/2014;10;Alejandro;7%;Cliente Repetido;Chapultepec
962;24/02/2014;13;Valentina;5%;Cliente Nuevo;La Paz
963;04/07/2014;7;Alejandro;13%;Cliente Repetido;Chapultepec
964;10/04/2014;16;Alejandro;8%;Cliente Nuevo;La Estancia
965;31/10/2014;17;Mauricio;20%;Cliente Nuevo;La Paz
966;11/08/2014;9;Rodolfo;17%;Cliente Repetido;La Paz
967;22/01/2015;12;Saul;7%;Cliente Nuevo;La Paz
968;15/04/2014;14;Ernesto;7%;Cliente Repetido;La Estancia
969;05/06/2014;4;Valentina;15%;Cliente Nuevo;La Paz
970;15/07/2014;1;Valentina;13%;Cliente Nuevo;Chapultepec
971;06/04/2014;10;Saul;17%;Cliente Nuevo;La Paz
972;25/02/2014;7;Ernesto;17%;Cliente Nuevo;La Paz
973;03/05/2014;3;Joel;11%;Cliente Repetido;La Estancia
974;19/07/2014;7;Joel;15%;Cliente Nuevo;La Estancia
975;17/11/2014;10;Omar;14%;Cliente Repetido;La Paz
976;26/04/2014;16;Alejandro;17%;Cliente Repetido;La Estancia
977;07/12/2014;7;Omar;13%;Cliente Repetido;La Estancia
978;31/08/2014;14;Alejandro;17%;Cliente Nuevo;La Estancia
979;29/03/2014;12;Saul;15%;Cliente Repetido;Chapultepec
980;07/10/2014;6;Saul;13%;Cliente Repetido;La Paz
981;30/06/2014;9;Alejandro;7%;Cliente Repetido;La Paz
982;08/08/2014;5;Valentina;13%;Cliente Nuevo;La Estancia
983;27/07/2014;1;Joel;5%;Cliente Nuevo;Chapultepec
984;11/07/2014;12;Valentina;16%;Cliente Nuevo;La Estancia
985;23/07/2014;8;Ernesto;13%;Cliente Repetido;La Paz
986;20/04/2014;17;Valentina;12%;Cliente Repetido;La Paz
987;22/04/2014;6;Saul;6%;Cliente Repetido;Chapultepec
988;22/06/2014;12;Omar;15%;Cliente Nuevo;La Estancia
989;07/08/2014;2;Omar;12%;Cliente Repetido;La Estancia
990;13/07/2014;13;Joel;13%;Cliente Repetido;La Estancia
991;31/03/2014;1;Saul;15%;Cliente Repetido;Chapultepec
992;14/02/2014;7;Joel;11%;Cliente Nuevo;La Paz
993;21/10/2014;2;Valentina;11%;Cliente Nuevo;La Estancia
994;09/07/2014;11;Omar;14%;Cliente Nuevo;Chapultepec
995;27/11/2014;10;Omar;12%;Cliente Repetido;La Estancia
996;07/01/2015;2;Mariana;14%;Cliente Nuevo;La Estancia
997;12/06/2014;17;Mariana;5%;Cliente Nuevo;La Paz
998;20/06/2014;4;Saul;17%;Cliente Nuevo;La Estancia
999;14/08/2014;12;Ernesto;15%;Cliente Repetido;La Paz
1000;19/11/2014;2;Rodolfo;11%;Cliente Repetido;La Estancia
1001;16/04/2014;7;Mariana;13%;Cliente Repetido;Chapultepec
1002;04/03/2014;12;Alejandro;13%;Cliente Nuevo;Chapultepec
1003;16/11/2014;9;Saul;16%;Cliente Nuevo;La Estancia
1004;06/06/2014;6;Saul;16%;Cliente Repetido;Chapultepec
1005;29/09/2014;3;Valentina;12%;Cliente Nuevo;La Estancia
1006;16/12/2014;2;Mariana;15%;Cliente Nuevo;La Estancia
1007;09/09/2014;12;Saul;12%;Cliente Repetido;La Estancia
1008;24/11/2014;10;Rodolfo;5%;Cliente Nuevo;La Estancia
1009;22/07/2014;16;Alejandro;16%;Cliente Repetido;Chapultepec
1010;04/07/2014;17;Ernesto;5%;Cliente Nuevo;La Paz
1011;06/12/2014;12;Mauricio;20%;Cliente Nuevo;La Estancia
1012;01/11/2014;14;Mauricio;20%;Cliente Nuevo;Chapultepec
1013;30/09/2014;17;Rodolfo;7%;Cliente Nuevo;Chapultepec
1014;10/09/2014;17;Ernesto;10%;Cliente Repetido;Chapultepec
1015;15/10/2014;5;Alejandro;14%;Cliente Nuevo;La Paz
1016;08/05/2014;3;Rodolfo;6%;Cliente Repetido;La Paz
1017;13/08/2014;5;Joel;10%;Cliente Nuevo;La Paz
1018;29/09/2014;10;Omar;14%;Cliente Nuevo;La Paz
1019;18/10/2014;10;Mauricio;20%;Cliente Nuevo;La Paz
1020;31/07/2014;7;Joel;5%;Cliente Repetido;La Estancia
1021;16/05/2014;13;Saul;9%;Cliente Nuevo;La Estancia
1022;10/08/2014;12;Valentina;10%;Cliente Repetido;La Estancia
1023;30/01/2015;14;Alejandro;9%;Cliente Repetido;La Paz
1024;10/07/2014;12;Mariana;9%;Cliente Nuevo;La Paz
1025;06/10/2014;10;Saul;16%;Cliente Nuevo;La Estancia
1026;18/05/2014;15;Rodolfo;8%;Cliente Nuevo;La Paz
1027;08/11/2014;12;Mauricio;20%;Cliente Nuevo;La Paz
1028;02/11/2014;16;Valentina;12%;Cliente Nuevo;La Estancia
1029;04/05/2014;8;Saul;12%;Cliente Repetido;La Paz
1030;23/09/2014;12;Valentina;5%;Cliente Nuevo;La Paz
1031;01/11/2014;7;Ernesto;17%;Cliente Nuevo;Chapultepec
1032;12/03/2014;8;Alejandro;8%;Cliente Nuevo;La Paz
1033;23/10/2014;10;Saul;10%;Cliente Nuevo;La Estancia
1034;06/06/2014;3;Mariana;7%;Cliente Nuevo;Chapultepec
1035;20/02/2014;14;Mariana;9%;Cliente Nuevo;La Paz
1036;31/05/2014;17;Saul;11%;Cliente Repetido;La Estancia
1037;06/02/2014;12;Valentina;8%;Cliente Nuevo;La Paz
1038;03/12/2014;11;Mariana;17%;Cliente Nuevo;La Paz
1039;10/05/2014;9;Joel;15%;Cliente Nuevo;La Paz
1040;16/04/2014;7;Mariana;6%;Cliente Repetido;La Estancia
1041;05/08/2014;3;Omar;14%;Cliente Nuevo;La Estancia
1042;07/02/2014;13;Joel;15%;Cliente Nuevo;La Estancia
1043;23/11/2014;1;Valentina;11%;Cliente Repetido;La Paz
1044;15/03/2014;2;Ernesto;10%;Cliente Nuevo;La Paz
1045;10/11/2014;16;Joel;8%;Cliente Nuevo;La Estancia
1046;24/05/2014;7;Omar;17%;Cliente Nuevo;La Paz
1047;12/10/2014;15;Alejandro;10%;Cliente Repetido;Chapultepec
1048;01/03/2014;17;Ernesto;15%;Cliente Repetido;La Paz
1049;10/04/2014;9;Mariana;17%;Cliente Repetido;La Paz
1050;08/11/2014;9;Rodolfo;12%;Cliente Repetido;Chapultepec
1051;09/05/2014;4;Alejandro;16%;Cliente Repetido;Chapultepec
1052;05/05/2014;15;Joel;6%;Cliente Nuevo;La Estancia
1053;18/02/2014;10;Mariana;7%;Cliente Nuevo;Chapultepec
1054;17/11/2014;8;Omar;17%;Cliente Repetido;La Estancia
1055;02/01/2015;10;Mauricio;20%;Cliente Nuevo;La Paz
1056;17/02/2014;11;Valentina;8%;Cliente Nuevo;La Estancia
1057;22/02/2014;11;Ernesto;9%;Cliente Nuevo;La Estancia
1058;24/04/2014;15;Alejandro;12%;Cliente Nuevo;La Paz
1059;07/01/2015;13;Omar;9%;Cliente Repetido;Chapultepec
1060;05/09/2014;12;Mauricio;20%;Cliente Nuevo;La Estancia
1061;24/04/2014;7;Rodolfo;10%;Cliente Repetido;La Estancia
1062;29/11/2014;2;Mauricio;20%;Cliente Nuevo;La Paz
1063;19/01/2015;1;Omar;15%;Cliente Nuevo;La Paz
1064;28/10/2014;7;Rodolfo;17%;Cliente Nuevo;Chapultepec
1065;21/11/2014;11;Rodolfo;9%;Cliente Nuevo;Chapultepec
1066;01/01/2015;16;Omar;12%;Cliente Nuevo;Chapultepec
1067;11/04/2014;10;Ernesto;11%;Cliente Nuevo;La Paz
1068;09/09/2014;15;Joel;8%;Cliente Nuevo;Chapultepec
1069;24/03/2014;4;Alejandro;13%;Cliente Repetido;La Estancia
1070;29/07/2014;12;Omar;13%;Cliente Nuevo;Chapultepec
1071;04/07/2014;10;Joel;12%;Cliente Nuevo;Chapultepec
1072;13/03/2014;2;Rodolfo;17%;Cliente Nuevo;La Estancia
1073;19/07/2014;13;Saul;9%;Cliente Repetido;La Estancia
1074;11/02/2014;16;Valentina;15%;Cliente Repetido;Chapultepec
1075;29/12/2014;2;Rodolfo;15%;Cliente Nuevo;La Estancia
1076;20/04/2014;13;Omar;16%;Cliente Nuevo;La Estancia
1077;22/10/2014;7;Valentina;7%;Cliente Nuevo;Chapultepec
1078;28/06/2014;6;Alejandro;9%;Cliente Nuevo;Chapultepec
1079;01/05/2014;9;Saul;15%;Cliente Nuevo;Chapultepec
1080;05/09/2014;2;Mauricio;20%;Cliente Nuevo;Chapultepec
1081;12/01/2015;4;Ernesto;14%;Cliente Nuevo;Chapultepec
1082;30/04/2014;6;Ernesto;17%;Cliente Repetido;Chapultepec
1083;07/02/2014;3;Omar;11%;Cliente Repetido;Chapultepec
1084;18/07/2014;6;Valentina;12%;Cliente Nuevo;Chapultepec
1085;29/03/2014;14;Omar;6%;Cliente Repetido;La Estancia
1086;11/01/2015;14;Joel;5%;Cliente Nuevo;La Paz
1087;04/02/2014;13;Joel;9%;Cliente Nuevo;La Paz
1088;26/09/2014;2;Joel;5%;Cliente Repetido;La Estancia
1089;29/06/2014;3;Mariana;8%;Cliente Nuevo;Chapultepec
1090;14/04/2014;17;Valentina;16%;Cliente Nuevo;La Paz
1091;19/02/2014;14;Mariana;7%;Cliente Repetido;La Estancia
1092;12/12/2014;2;Alejandro;7%;Cliente Nuevo;La Paz
1093;09/09/2014;11;Ernesto;15%;Cliente Nuevo;La Estancia
1094;25/07/2014;5;Valentina;15%;Cliente Repetido;Chapultepec
1095;03/11/2014;5;Mariana;11%;Cliente Nuevo;La Estancia
1096;09/06/2014;12;Valentina;6%;Cliente Repetido;Chapultepec
1097;08/01/2015;2;Valentina;6%;Cliente Nuevo;La Paz
1098;16/11/2014;10;Mariana;16%;Cliente Nuevo;Chapultepec
1099;08/06/2014;4;Ernesto;10%;Cliente Nuevo;La Paz
1100;07/07/2014;9;Valentina;10%;Cliente Repetido;La Paz
1101;25/02/2014;14;Joel;10%;Cliente Nuevo;La Paz
1102;16/10/2014;12;Alejandro;7%;Cliente Nuevo;La Paz
1103;24/10/2014;2;Mauricio;20%;Cliente Nuevo;La Estancia
1104;03/06/2014;1;Rodolfo;16%;Cliente Nuevo;La Estancia
1105;22/09/2014;9;Joel;16%;Cliente Nuevo;La Paz
1106;24/06/2014;1;Rodolfo;9%;Cliente Nuevo;La Estancia
1107;07/03/2014;15;Omar;8%;Cliente Repetido;La Paz
1108;11/07/2014;9;Valentina;5%;Cliente Nuevo;La Estancia
1109;04/04/2014;6;Mariana;5%;Cliente Nuevo;La Paz
1110;03/11/2014;17;Joel;12%;Cliente Repetido;Chapultepec
1111;16/11/2014;7;Omar;16%;Cliente Nuevo;La Estancia
1112;13/09/2014;2;Mauricio;20%;Cliente Nuevo;La Estancia
1113;06/12/2014;7;Alejandro;7%;Cliente Nuevo;La Estancia
1114;18/12/2014;10;Rodolfo;11%;Cliente Nuevo;Chapultepec
1115;01/06/2014;14;Mariana;11%;Cliente Nuevo;La Paz
1116;07/10/2014;14;Valentina;8%;Cliente Nuevo;La Paz
1117;10/09/2014;9;Saul;5%;Cliente Nuevo;Chapultepec
1118;24/09/2014;14;Alejandro;8%;Cliente Nuevo;La Estancia
1119;21/12/2014;13;Ernesto;11%;Cliente Repetido;Chapultepec
1120;07/10/2014;4;Omar;13%;Cliente Nuevo;La Estancia
1121;25/09/2014;6;Ernesto;12%;Cliente Nuevo;La Estancia
1122;19/03/2014;1;Rodolfo;14%;Cliente Nuevo;La Paz
1123;10/01/2015;5;Mauricio;20%;Cliente Nuevo;La Estancia
1124;17/01/2015;7;Alejandro;5%;Cliente Repetido;Chapultepec
1125;27/10/2014;11;Saul;14%;Cliente Nuevo;La Estancia
1126;29/09/2014;3;Ernesto;10%;Cliente Nuevo;La Estancia
1127;03/01/2015;5;Mauricio;20%;Cliente Nuevo;La Paz
1128;25/07/2014;7;Valentina;10%;Cliente Repetido;La Paz
1129;14/11/2014;6;Mauricio;20%;Cliente Nuevo;La Paz
1130;21/08/2014;10;Alejandro;12%;Cliente Repetido;La Estancia
1131;16/04/2014;14;Mariana;12%;Cliente Repetido;Chapultepec
1132;02/06/2014;14;Omar;10%;Cliente Nuevo;Chapultepec
1133;01/10/2014;17;Joel;11%;Cliente Nuevo;La Estancia
1134;25/06/2014;6;Rodolfo;7%;Cliente Nuevo;Chapultepec
1135;26/04/2014;2;Ernesto;13%;Cliente Nuevo;La Paz
1136;25/12/2014;2;Mariana;11%;Cliente Nuevo;La Estancia
1137;25/05/2014;4;Joel;11%;Cliente Nuevo;La Paz
1138;14/09/2014;13;Alejandro;7%;Cliente Repetido;Chapultepec
1139;02/08/2014;14;Valentina;13%;Cliente Nuevo;La Estancia
1140;28/06/2014;8;Joel;6%;Cliente Nuevo;La Estancia
1141;13/04/2014;15;Mariana;12%;Cliente Nuevo;La Paz
1142;17/07/2014;17;Ernesto;12%;Cliente Nuevo;La Estancia
1143;10/12/2014;17;Rodolfo;13%;Cliente Nuevo;La Estancia
1144;07/08/2014;10;Alejandro;10%;Cliente Nuevo;La Estancia
1145;22/03/2014;11;Joel;14%;Cliente Nuevo;La Estancia
1146;04/03/2014;7;Mariana;8%;Cliente Repetido;Chapultepec
1147;06/12/2014;1;Saul;13%;Cliente Repetido;La Paz
1148;01/06/2014;1;Mariana;15%;Cliente Nuevo;La Estancia
1149;28/04/2014;2;Alejandro;9%;Cliente Nuevo;Chapultepec
1150;17/07/2014;5;Valentina;6%;Cliente Repetido;La Estancia
1151;27/05/2014;5;Omar;14%;Cliente Nuevo;Chapultepec
1152;27/12/2014;12;Ernesto;6%;Cliente Nuevo;La Paz
1153;04/09/2014;17;Omar;16%;Cliente Nuevo;Chapultepec
1154;22/04/2014;7;Saul;5%;Cliente Repetido;Chapultepec
1155;27/11/2014;14;Saul;10%;Cliente Nuevo;La Paz
1156;11/06/2014;4;Saul;12%;Cliente Nuevo;La Estancia
1157;04/07/2014;13;Ernesto;6%;Cliente Nuevo;Chapultepec
1158;10/09/2014;10;Mariana;15%;Cliente Nuevo;La Estancia
1159;17/08/2014;7;Mariana;5%;Cliente Repetido;La Paz
1160;28/07/2014;11;Alejandro;7%;Cliente Nuevo;La Paz
1161;01/03/2014;17;Rodolfo;17%;Cliente Nuevo;Chapultepec
1162;17/07/2014;3;Alejandro;5%;Cliente Nuevo;La Paz
1163;16/07/2014;7;Valentina;15%;Cliente Nuevo;La Paz
1164;30/04/2014;13;Rodolfo;10%;Cliente Nuevo;La Estancia
1165;02/03/2014;12;Valentina;16%;Cliente Nuevo;La Estancia
1166;11/08/2014;6;Ernesto;16%;Cliente Nuevo;La Estancia
1167;28/02/2014;10;Mariana;9%;Cliente Nuevo;La Paz
1168;22/03/2014;16;Mariana;6%;Cliente Nuevo;Chapultepec
1169;07/11/2014;14;Rodolfo;13%;Cliente Repetido;Chapultepec
1170;29/10/2014;6;Joel;10%;Cliente Nuevo;Chapultepec
1171;28/03/2014;11;Ernesto;10%;Cliente Nuevo;Chapultepec
1172;10/07/2014;8;Ernesto;16%;Cliente Repetido;Chapultepec
1173;31/12/2014;11;Valentina;16%;Cliente Nuevo;Chapultepec
1174;25/12/2014;5;Alejandro;8%;Cliente Nuevo;Chapultepec
1175;03/10/2014;2;Mauricio;20%;Cliente Nuevo;La Estancia
1176;29/11/2014;12;Alejandro;14%;Cliente Nuevo;La Estancia
1177;04/02/2014;14;Mariana;17%;Cliente Nuevo;La Paz
1178;04/09/2014;16;Mariana;13%;Cliente Nuevo;La Estancia
1179;29/05/2014;3;Rodolfo;6%;Cliente Nuevo;La Paz
1180;06/06/2014;11;Ernesto;12%;Cliente Nuevo;La Estancia
1181;02/09/2014;6;Mariana;15%;Cliente Repetido;Chapultepec
1182;14/09/2014;8;Mariana;17%;Cliente Nuevo;La Estancia
1183;02/06/2014;3;Mariana;6%;Cliente Repetido;La Estancia
1184;10/07/2014;13;Ernesto;16%;Cliente Repetido;Chapultepec
1185;11/05/2014;17;Ernesto;5%;Cliente Nuevo;Chapultepec
1186;06/02/2014;10;Omar;5%;Cliente Nuevo;Chapultepec
1187;30/08/2014;4;Valentina;16%;Cliente Repetido;La Estancia
1188;11/07/2014;7;Saul;17%;Cliente Nuevo;La Paz
1189;24/05/2014;9;Alejandro;11%;Cliente Repetido;La Estancia
